iter	Passed	Remaining
0	49	49087
1	96	48226
2	153	50899
3	202	50368
4	251	50096
5	305	50528
6	358	50830
7	412	51176
8	461	50799
9	509	50465
10	557	50128
11	611	50336
12	661	50247
13	711	50121
14	776	51022
15	842	51824
16	902	52208
17	963	52580
18	1027	53060
19	1085	53191
20	1146	53426
21	1208	53704
22	1261	53596
23	1315	53496
24	1371	53471
25	1420	53212
26	1471	53018
27	1520	52797
28	1568	52532
29	1618	52317
30	1667	52118
31	1714	51863
32	1761	51626
33	1811	51458
34	1860	51299
35	1908	51110
36	1956	50920
37	2005	50774
38	2053	50593
39	2102	50463
40	2152	50339
41	2199	50172
42	2247	50011
43	2303	50051
44	2351	49909
45	2402	49821
46	2456	49800
47	2512	49823
48	2570	49890
49	2627	49925
50	2706	50364
51	2780	50685
52	2847	50881
53	2912	51030
54	2986	51305
55	3038	51214
56	3087	51078
57	3136	50940
58	3184	50787
59	3238	50739
60	3310	50960
61	3395	51366
62	3453	51365
63	3524	51549
64	3585	51577
65	3719	52637
66	3817	53164
67	3872	53080
68	3921	52911
69	3970	52756
70	4020	52604
71	4068	52443
72	4124	52380
73	4184	52359
74	4232	52197
75	4287	52124
76	4336	51986
77	4401	52027
78	4479	52228
79	4547	52292
80	4630	52534
81	4695	52564
82	4759	52582
83	4816	52521
84	4866	52388
85	4915	52242
86	4963	52088
87	5014	51972
88	5168	52905
89	5253	53117
90	5305	52993
91	5353	52835
92	5412	52787
93	5489	52912
94	5557	52946
95	5620	52930
96	5692	52989
97	5740	52834
98	5800	52788
99	5850	52655
100	5899	52512
101	5947	52362
102	5996	52218
103	6046	52089
104	6123	52198
105	6176	52091
106	6224	51949
107	6277	51848
108	6324	51700
109	6373	51564
110	6420	51421
111	6469	51292
112	6518	51164
113	6566	51032
114	6613	50895
115	6664	50785
116	6714	50674
117	6763	50551
118	6811	50431
119	6862	50323
120	6910	50197
121	6959	50087
122	7007	49960
123	7054	49837
124	7103	49724
125	7153	49621
126	7201	49500
127	7255	49426
128	7305	49324
129	7353	49209
130	7400	49092
131	7449	48987
132	7498	48879
133	7554	48823
134	7600	48701
135	7649	48596
136	7696	48485
137	7746	48385
138	7796	48292
139	7846	48200
140	7893	48090
141	7941	47987
142	7990	47885
143	8037	47778
144	8086	47681
145	8133	47576
146	8182	47481
147	8233	47396
148	8284	47315
149	8333	47223
150	8379	47112
151	8426	47012
152	8474	46916
153	8523	46821
154	8570	46724
155	8618	46625
156	8666	46536
157	8714	46439
158	8767	46373
159	8814	46275
160	8862	46184
161	8911	46097
162	8957	45998
163	9006	45910
164	9054	45820
165	9105	45746
166	9154	45661
167	9203	45579
168	9255	45510
169	9306	45435
170	9353	45346
171	9401	45256
172	9449	45170
173	9497	45083
174	9550	45023
175	9600	44945
176	9649	44868
177	9698	44788
178	9756	44747
179	9805	44670
180	9855	44596
181	9904	44517
182	9961	44473
183	10010	44396
184	10060	44322
185	10112	44255
186	10162	44181
187	10210	44100
188	10262	44035
189	10317	43983
190	10364	43898
191	10411	43816
192	10460	43737
193	10507	43654
194	10557	43583
195	10606	43510
196	10655	43432
197	10702	43350
198	10752	43279
199	10801	43204
200	10848	43124
201	10897	43051
202	10948	42983
203	10994	42902
204	11040	42816
205	11089	42744
206	11138	42672
207	11189	42605
208	11245	42558
209	11294	42490
210	11350	42443
211	11423	42459
212	11475	42399
213	11526	42335
214	11577	42270
215	11625	42194
216	11674	42124
217	11729	42076
218	11779	42006
219	11826	41929
220	11875	41858
221	11923	41787
222	11971	41712
223	12020	41643
224	12069	41573
225	12117	41498
226	12170	41444
227	12225	41394
228	12273	41323
229	12324	41260
230	12373	41191
231	12420	41115
232	12482	41091
233	12541	41056
234	12590	40985
235	12637	40912
236	12686	40841
237	12733	40768
238	12782	40700
239	12831	40633
240	12879	40561
241	12927	40490
242	12974	40418
243	13022	40348
244	13070	40279
245	13118	40207
246	13166	40138
247	13219	40085
248	13267	40015
249	13315	39947
250	13363	39878
251	13412	39810
252	13461	39746
253	13508	39675
254	13555	39603
255	13602	39531
256	13653	39472
257	13710	39430
258	13769	39394
259	13822	39340
260	13870	39274
261	13920	39209
262	13968	39143
263	14017	39078
264	14065	39012
265	14115	38949
266	14163	38882
267	14216	38828
268	14265	38766
269	14314	38702
270	14361	38633
271	14410	38568
272	14458	38503
273	14505	38435
274	14553	38367
275	14600	38299
276	14648	38235
277	14697	38170
278	14748	38114
279	14795	38046
280	14844	37982
281	14891	37916
282	14949	37875
283	14997	37809
284	15045	37746
285	15092	37679
286	15140	37614
287	15189	37552
288	15242	37499
289	15320	37509
290	15404	37532
291	15471	37512
292	15519	37448
293	15567	37383
294	15616	37320
295	15665	37258
296	15711	37189
297	15760	37126
298	15812	37072
299	15861	37009
300	15908	36942
301	15956	36879
302	16004	36816
303	16053	36753
304	16102	36691
305	16152	36633
306	16207	36584
307	16256	36523
308	16305	36463
309	16352	36397
310	16410	36356
311	16461	36300
312	16510	36237
313	16558	36175
314	16605	36110
315	16655	36051
316	16703	35988
317	16750	35924
318	16797	35860
319	16844	35794
320	16893	35734
321	16942	35673
322	16989	35609
323	17037	35546
324	17084	35483
325	17131	35420
326	17179	35357
327	17231	35303
328	17278	35240
329	17328	35181
330	17390	35149
331	17473	35157
332	17521	35094
333	17570	35035
334	17618	34974
335	17667	34913
336	17717	34857
337	17766	34796
338	17814	34736
339	17862	34673
340	17910	34612
341	17957	34550
342	18003	34485
343	18051	34423
344	18099	34361
345	18148	34304
346	18208	34266
347	18274	34238
348	18325	34183
349	18375	34126
350	18424	34066
351	18470	34002
352	18518	33941
353	18572	33891
354	18622	33835
355	18674	33782
356	18725	33726
357	18780	33679
358	18834	33629
359	18883	33571
360	18933	33513
361	18985	33460
362	19036	33404
363	19086	33348
364	19134	33288
365	19190	33242
366	19238	33182
367	19296	33139
368	19350	33090
369	19402	33036
370	19451	32977
371	19498	32916
372	19545	32855
373	19594	32797
374	19643	32739
375	19691	32679
376	19739	32620
377	19789	32563
378	19836	32502
379	19882	32440
380	19931	32382
381	19981	32326
382	20029	32267
383	20077	32207
384	20125	32148
385	20179	32098
386	20232	32048
387	20280	31988
388	20328	31929
389	20377	31873
390	20426	31815
391	20475	31757
392	20524	31700
393	20573	31643
394	20620	31583
395	20668	31524
396	20717	31466
397	20766	31409
398	20813	31350
399	20861	31292
400	20911	31236
401	20958	31177
402	21005	31116
403	21053	31059
404	21101	31001
405	21150	30943
406	21205	30896
407	21252	30837
408	21303	30783
409	21359	30737
410	21407	30679
411	21456	30621
412	21524	30592
413	21572	30534
414	21621	30478
415	21669	30420
416	21717	30362
417	21764	30304
418	21812	30246
419	21860	30188
420	21908	30130
421	21956	30072
422	22003	30013
423	22051	29956
424	22099	29898
425	22147	29842
426	22197	29787
427	22245	29730
428	22294	29674
429	22341	29615
430	22400	29573
431	22448	29515
432	22495	29457
433	22542	29398
434	22592	29344
435	22640	29287
436	22687	29229
437	22735	29172
438	22783	29115
439	22831	29057
440	22878	29000
441	22926	28943
442	22973	28885
443	23022	28830
444	23071	28774
445	23118	28716
446	23171	28666
447	23219	28610
448	23267	28552
449	23315	28496
450	23362	28438
451	23411	28383
452	23458	28326
453	23505	28268
454	23552	28211
455	23600	28154
456	23648	28099
457	23696	28042
458	23746	27988
459	23793	27932
460	23841	27875
461	23892	27822
462	23939	27765
463	23986	27709
464	24035	27654
465	24082	27597
466	24130	27540
467	24181	27488
468	24228	27431
469	24275	27373
470	24323	27318
471	24372	27263
472	24419	27207
473	24466	27150
474	24513	27094
475	24560	27037
476	24608	26981
477	24655	26925
478	24704	26870
479	24751	26814
480	24799	26758
481	24846	26702
482	24894	26647
483	24970	26621
484	25020	26567
485	25067	26511
486	25115	26456
487	25167	26405
488	25215	26349
489	25263	26294
490	25311	26238
491	25359	26184
492	25407	26128
493	25455	26073
494	25502	26017
495	25549	25961
496	25597	25906
